序号,成员变量名,数据类型,注释,
,Sys.Status.bAllAxesReferenced,BOOL,,
,Sys.Status.bAllAxesHomed,BOOL,,
,Sys.Status.bAllAxesAtInit,BOOL,,
,Sys.Status.bAllAxesIdle,BOOL,,
,Sys.Status.bAnyAxisAtLimit,BOOL,,
,Sys.Status.bReady,BOOL,,
,Sys.Status.bSafeToStart,BOOL,,
,Sys.Status.bBusy,BOOL,,
,Sys.Status.bParamError,BOOL,,
,Sys.Status.bAbsPositionValid,BOOL,,
,Sys.Status.bSensitiveRunning,BOOL,,
,Sys.Status.bIsEmergency,BOOL,,
,Sys.Status.bSelfTestDone,BOOL,,
,Sys.Status.bSkipSelfTestAllowed,BOOL,,
,Sys.Status.bForceSkipSelfTestAllowed,BOOL,,
,Sys.ErrorQueue,Stru_ErrorQueue,,
,Sys.ErrorQueue.aEntries,Stru_ErrorEntry[9],,
,Sys.ErrorQueue.aEntries[0],Stru_ErrorEntry,,
,Sys.ErrorQueue.aEntries[0].iLevel,INT,,
,Sys.ErrorQueue.aEntries[0].iCode,INT,,
,Sys.ErrorQueue.aEntries[0].iSource,INT,,
,Sys.ErrorQueue.aEntries[0].iVal1,INT,,
,Sys.ErrorQueue.aEntries[0].diTimestamp,DINT,,
,Sys.ErrorQueue.aEntries[1],Stru_ErrorEntry,,
,Sys.ErrorQueue.aEntries[1].iLevel,INT,,
,Sys.ErrorQueue.aEntries[1].iCode,INT,,
,Sys.ErrorQueue.aEntries[1].iSource,INT,,
,Sys.ErrorQueue.aEntries[1].iVal1,INT,,
,Sys.ErrorQueue.aEntries[1].diTimestamp,DINT,,
,Sys.ErrorQueue.aEntries[2],Stru_ErrorEntry,,
,Sys.ErrorQueue.aEntries[2].iLevel,INT,,
,Sys.ErrorQueue.aEntries[2].iCode,INT,,
,Sys.ErrorQueue.aEntries[2].iSource,INT,,
,Sys.ErrorQueue.aEntries[2].iVal1,INT,,
,Sys.ErrorQueue.aEntries[2].diTimestamp,DINT,,
,Sys.ErrorQueue.aEntries[3],Stru_ErrorEntry,,
,Sys.ErrorQueue.aEntries[3].iLevel,INT,,
,Sys.ErrorQueue.aEntries[3].iCode,INT,,
,Sys.ErrorQueue.aEntries[3].iSource,INT,,
,Sys.ErrorQueue.aEntries[3].iVal1,INT,,
,Sys.ErrorQueue.aEntries[3].diTimestamp,DINT,,
,Sys.ErrorQueue.aEntries[4],Stru_ErrorEntry,,
,Sys.ErrorQueue.aEntries[4].iLevel,INT,,
,Sys.ErrorQueue.aEntries[4].iCode,INT,,
,Sys.ErrorQueue.aEntries[4].iSource,INT,,
,Sys.ErrorQueue.aEntries[4].iVal1,INT,,
,Sys.ErrorQueue.aEntries[4].diTimestamp,DINT,,
